Id	DR	L	WP	W	SL	SW	P
L409_01	2.73	9.27	4.68	6.79	NaN	NaN	2
L409_02	3.21	7.81	3.89	6.05	NaN	NaN	2
L409_03	3.34	9.37	5.16	7.5	2.67	3.85	2
L409_04	3.53	9.04	5	7.27	NaN	NaN	2
L409_05	3.52	9.5	4.37	7.67	2.14	3.27	3
L409_06	3.34	9.31	5.83	7.71	NaN	NaN	2
L409_07	2.59	7.71	4.58	7.24	NaN	NaN	2
L409_08	2.92	8.5	4.79	7.07	NaN	NaN	3
L409_09	3	10.31	5.82	7.24	NaN	NaN	2
L409_10	3.36	9.07	4.86	7.64	NaN	NaN	3
L410_01	2.47	10.18	5.46	7.47	NaN	NaN	1
L410_02	2.86	10.67	6.65	8.95	2.57	2.74	2
L410_03	2.57	9.87	5.17	7.61	NaN	NaN	2
L410_04	2.7	9.83	5.52	8.94	2.62	2.64	2
L410_05	2.55	9.05	6.2	7.78	NaN	NaN	1
L410_06	2.92	11.42	6.21	9.52	NaN	NaN	2
L410_07	3.07	10.89	6.82	9.24	2.28	2.98	2
L410_08	2.72	9.71	6.04	8.2	NaN	NaN	2
L410_09	2.67	9.97	6.43	8.62	NaN	NaN	2
L410_10	2.53	9.87	5.38	8.59	NaN	NaN	2
L501_01	3	8.64	5.08	9.44	NaN	NaN	2
L501_02	2.9	10.16	5.88	9.31	NaN	NaN	2
L501_03	2.74	9.39	5.01	9.09	NaN	NaN	2
L501_04	3.33	9.79	5.23	9.95	NaN	NaN	2
L501_05	2.93	9.9	4.57	8.81	NaN	NaN	2
L501_06	2.63	9.26	4.19	10.07	NaN	NaN	2
L501_07	2.83	9.42	4.81	9.88	NaN	NaN	2
L501_08	3.03	10.35	5.14	10.48	NaN	NaN	2
L501_09	3.47	10.61	5.65	9.68	NaN	NaN	1
L502_01	3.12	9.41	4.9	7.83	NaN	NaN	2
L502_02	3.07	9.88	3.75	7.16	NaN	NaN	2
L502_03	3.2	9.25	5.33	8.26	NaN	NaN	2
L502_04	3.52	9.83	4.49	8.47	NaN	NaN	2
L502_05	3.49	NaN	NaN	NaN	NaN	NaN	2
L502_06	3.29	10.92	3.98	8.42	2.12	3.36	2
L502_07	3.29	9.44	4.38	9.11	1.83	3.29	2
L502_08	3.14	10.43	5.4	8.7	NaN	NaN	2
L502_09	2.92	10.63	4.79	9.87	NaN	NaN	2
L502_10	3.24	9.33	5.24	7.63	NaN	NaN	2
L503_01	2.53	9.75	5.58	8.68	NaN	NaN	2
L503_02	2.47	9.46	5.09	8.51	2.06	4.07	1
L503_03	3.03	10.02	3.74	8.81	NaN	NaN	2
L503_04	2.76	9.92	4.74	9.08	2.11	4.38	2
L503_05	2.93	9.73	5.39	9.11	2.15	3.89	2
L503_06	2.83	10.75	5.2	8.95	NaN	NaN	2
L503_07	3.03	9.42	5.32	9.46	2.29	4.55	2
L503_08	3.12	10.21	4.74	9.33	1.89	3.95	2
L503_09	2.86	8.68	4.12	8.81	NaN	NaN	2
L503_10	3.15	10.98	5.07	9.06	NaN	NaN	1
L504_01	3.48	9.86	6.06	9.03	2.19	3.82	2
L504_02	2.28	10.37	6.3	7.92	NaN	NaN	1
L504_03	3.56	9.39	5.66	9.2	2.02	4.04	2
L504_04	3.62	9.22	5.45	9.27	NaN	NaN	2
L504_05	3.37	8.93	4.94	7.65	NaN	NaN	2
L504_06	4	9.11	5.54	8.79	2.7	4.32	2
L504_07	3.83	9.89	5.86	9.65	2.65	4.58	2
L504_08	3.51	8.86	5.07	9.15	2.33	4.19	2
L504_09	3.67	9.86	5.23	9.71	2.39	4.76	2
L504_10	2.7	11.11	4.52	9.14	NaN	NaN	1
L505_01	3.45	8.83	5.54	8.82	2.01	3.4	2
L505_02	3.1	7.43	2.88	7.83	NaN	NaN	2
L505_03	3.25	7.99	4.2	8.77	NaN	NaN	2
L505_04	3.71	7.7	4.39	7.57	NaN	NaN	2
L505_05	3.16	8.07	5.56	7.88	2.05	3.6	2
L505_06	2.7	8.43	6.16	8.06	2.08	3.08	2
L505_07	3.3	7.74	5.24	7.84	2.16	4.12	2
L505_08	3.53	8.46	5.23	8.44	2.16	3.88	2
L505_09	3	7.5	3.15	6.62	2.11	3.58	2
L505_10	3.62	8.84	5.56	8.85	NaN	NaN	2
L506_01	3.46	9.41	4.78	9.04	NaN	NaN	2
L506_02	3.46	10.4	5.76	9.36	NaN	NaN	2
L506_03	3.53	9.59	4.72	9.04	NaN	NaN	2
L506_04	3.61	10.07	5.62	9.32	NaN	NaN	2
L506_05	3.07	10.07	5.13	9.29	NaN	NaN	2
L506_06	3.27	10.25	6.07	9.16	NaN	NaN	2
L506_07	3.44	10.49	5.72	8.44	2.46	3.02	3
L506_08	3.19	11.48	6	9.33	2.41	3.78	2
L506_09	3.55	9.46	4.09	8.61	2.28	3.31	2
L506_10	4.24	11.12	4.78	10.39	2.33	3.13	3
L507_01	3.36	9.32	6.23	9.82	NaN	NaN	2
L507_02	3.02	8.97	4.69	9.13	NaN	NaN	2
L507_03	3.16	10.64	6.11	9.35	1.88	3.27	2
L507_04	2.84	8.25	4.09	8.37	NaN	NaN	2
L507_05	2.97	9.09	4.35	9.58	1.87	3.67	2
L507_06	2.92	8.71	5.14	8.74	NaN	NaN	2
L507_07	2.97	7.66	4.45	7.76	NaN	NaN	2
L507_08	2.93	9.17	4.87	10.16	NaN	NaN	2
L507_09	2.87	8.48	4.08	8.49	NaN	NaN	2
L507_10	3.4	9.76	5.24	9.38	NaN	NaN	3
L508_01	3.38	10.85	5.31	8.79	NaN	NaN	2
L508_02	3.08	10.76	5.99	10.07	2.26	2.89	3
L508_03	3.17	9.81	5.54	9.36	NaN	NaN	2
L508_04	3.35	10.27	5.41	8.47	NaN	NaN	2
L508_05	3.33	10.68	5.74	9.27	NaN	NaN	2
L509_01	3.15	10.13	6.23	9.87	2.21	2.86	2
L509_02	3.22	8.4	5.82	9.07	NaN	NaN	2
L509_03	3.43	9.41	5.13	9.5	2.86	3.67	2
L509_04	3.53	10.22	5.86	9.51	2.73	4.25	2
L509_05	2.8	8.6	4.91	9.64	NaN	NaN	2
L509_06	3.56	10.66	6.69	10.38	NaN	NaN	2
L509_07	3.72	10.68	5.78	9.55	2.21	3.1	3
L509_08	3.52	8.79	5.15	8.99	NaN	NaN	3
L509_09	3.32	9.56	5.84	9.81	NaN	NaN	2
L509_10	3.26	9.46	5.75	10.23	NaN	NaN	2
L510_01	3.73	8.84	5.29	10.32	NaN	NaN	2
L510_02	2.84	9.52	5.3	9.3	NaN	NaN	3
L510_03	3.1	9.43	4.38	8.9	NaN	NaN	2
L510_04	3.22	9.67	4.48	9.75	2.37	3.15	3
L510_05	3.66	10.24	5.36	9.99	NaN	NaN	3
L510_06	3.96	9.66	5.4	9.15	NaN	NaN	3
L510_07	4.31	9.71	6.26	9.88	2.21	3.42	3
L510_08	3.73	9.4	5.22	10.55	NaN	NaN	3
L510_09	3.51	10.25	4.85	10.08	NaN	NaN	2
L510_10	3.69	8.89	4.66	9.72	NaN	NaN	2
L601_01	3.53	10.45	6.28	9	1.8	3.74	2
L601_02	3.63	10.83	6.12	9.13	NaN	NaN	2
L601_03	2.89	11.12	7.1	8.57	NaN	NaN	2
L601_04	3.4	9.75	6.44	7.88	NaN	NaN	2
L601_05	3.48	11.08	6.74	10.17	NaN	NaN	3
L601_06	3.25	11.57	8.01	8.94	NaN	NaN	3
L601_07	2.93	9.98	5.32	8.7	NaN	NaN	2
L601_08	3.23	9.91	5.6	9.34	NaN	NaN	2
L601_09	3.41	11.64	6.97	9.17	NaN	NaN	2
L601_10	2.71	10.07	5.2	8.27	NaN	NaN	2
L602_01	3.42	9.65	5.36	10.51	3.49	3	2
L602_02	3.7	9.77	5.48	9.79	2.49	3.66	2
L602_03	3.22	8.63	4.97	8.21	2.41	3.7	1
L602_04	3.66	10.84	6.14	9.46	2.55	3.7	2
L602_05	3.49	9.65	5.11	9.74	2.35	3.73	2
L602_06	3.77	9.96	5.33	9.99	2.63	3.06	2
L602_07	3.3	8.86	4.13	9.58	NaN	NaN	2
L602_08	3.53	8.92	4.51	9.22	2.64	3.15	2
L602_09	3.46	9.25	4.7	8.91	2.23	2.84	2
L602_10	3.03	8.89	4.33	8.92	2.46	3.69	2
L603_01	4.05	10.08	5.14	8.51	1.45	2.42	3
L603_02	4.03	10.81	4.34	9.92	2.02	2.85	2
L603_03	4.63	11.47	5.76	8.53	NaN	NaN	2
L603_04	4.33	10.08	4.95	8.95	1.53	2.41	3
L603_05	3.86	9.18	5.25	9.32	1.67	2.83	2
L603_06	4.36	9.02	5.04	8.58	1.68	2.9	2
L603_07	3.69	8.64	4.22	7.7	1.38	2.53	3
L603_08	3.99	10.32	4.83	9.25	1.79	3.77	2
L603_09	4.44	8.54	4.26	8.67	1.72	2.84	2
L603_10	3.37	8.65	4.9	8.28	NaN	NaN	3
L604_01	3.23	10.58	5.56	9.56	1.85	1.95	2
L604_02	3.63	10.28	6.04	9.2	1.53	2.57	2
L604_03	3.6	10.45	5.52	9.77	1.98	2.48	2
L604_04	3.32	11.15	5.15	9.3	1.37	1.79	2
L604_05	3.37	10.44	4.15	9.46	2.07	1.94	2
L604_06	3.58	10.72	4.6	9.51	1.64	2.06	2
L604_07	2.95	9.97	4.04	10.04	1.44	1.69	2
L604_08	3.23	10.22	4.22	9.26	2.29	1.84	2
L604_09	3.54	10.38	5.14	7.87	1.32	2.06	2
L604_10	3.54	10.37	5.73	9.03	NaN	NaN	2
L605_01	3.17	9.23	5.07	9.06	NaN	NaN	2
L605_02	3.79	10.78	5.97	9.45	NaN	NaN	2
L605_03	4.03	9.81	4.37	9.47	NaN	NaN	2
L605_04	3.17	9.68	5.7	9.62	NaN	NaN	2
L605_05	3.27	10.01	5.24	9.35	2.09	2.62	2
L605_06	2.8	8.96	5.79	8.02	NaN	NaN	1
L605_07	3.47	9.77	5.24	9.68	NaN	NaN	2
L605_08	3.58	10.81	6.57	10.56	NaN	NaN	2
L605_09	3.38	9.71	5.25	8.35	NaN	NaN	2
L605_10	3.2	9.68	4.87	8.86	2.04	3.18	2
L606_01	3.66	10.78	5.79	8.32	1.6	2.45	2
L606_02	4.06	9.67	5.02	8.92	2.13	2.92	2
L606_03	3.83	10.64	4.58	9.89	1.58	1.74	3
L606_04	4	10.52	5.11	9.21	1.75	2.37	2
L606_05	4.1	9.81	5.06	9.71	NaN	NaN	2
L606_06	4.04	10.47	5.37	10.17	1.79	2.8	3
L606_07	3.63	9.65	4.19	9.23	1.8	2.87	2
L606_08	4.47	10.99	6.84	10.28	NaN	NaN	2
L606_09	3.72	9.92	4.78	9.63	1.86	2.07	2
L606_10	4.07	10.28	4.95	8.65	1.77	2.51	2
L607_01	3.93	9.68	4.12	8.78	2.12	2.82	3
L607_02	3.53	12.02	7.77	10.64	1.64	2.19	2
L607_03	3.5	10.98	6.4	10.63	2.32	2.1	2
L607_04	3.58	11.35	5.62	9.47	2.14	2.06	2
L607_05	3.15	11.12	4.81	9.86	1.72	1.92	3
L607_06	2.81	11.96	6.13	9.87	2.09	1.71	2
L607_07	3.8	11.37	6.06	9.28	2.14	2.45	2
L607_08	3.86	11.11	7.51	9.8	1.79	1.98	2
L607_09	3.46	11.43	6.31	8.96	2.35	2.41	2
L607_10	3.84	10.1	6.06	9.82	1.83	2.1	2
L608_01	3.29	10.52	4.74	10.18	2.53	3.54	2
L608_02	3.86	11.07	6.52	10.32	2.32	3.55	2
L608_03	3.17	9.01	4.62	8.41	2.37	3.66	2
L608_04	3.13	10.1	5.11	9.41	2.27	4.01	2
L608_05	3.44	10.5	5.97	9.86	2.06	3.86	2
L608_06	3.4	10.26	5.62	9.9	2.41	4.16	2
L608_07	3.34	10.07	5.48	9.09	1.91	4.07	2
L608_08	3.1	10.9	6.23	9.69	2.22	3.62	2
L608_09	3.26	9.93	4.29	9.44	2.02	3.81	2
L609_01	3.18	10.65	6.27	9.28	NaN	NaN	2
L609_02	3.47	10.38	5.1	8.19	1.82	2.73	2
L609_03	4.31	12.03	6.45	9.5	0.96	2.17	2
L609_04	3.69	11.31	6.26	8.01	1.33	2.19	2
L609_05	3.93	10.33	4.74	8.08	NaN	NaN	3
L609_06	3.29	10.82	6.28	8.43	NaN	NaN	2
L609_07	3.56	11.9	6.19	9.01	1.87	2.17	2
L609_08	3.93	11.62	6.66	8.94	2.02	3.32	2
L609_09	3.77	11.39	5.34	8.55	NaN	NaN	2
L609_10	3.4	11.25	4.97	8.66	1.56	2.17	2
L610_01	3.83	10.03	4.67	8.93	2.07	3.37	2
L610_02	4.49	10.44	5.42	9.13	NaN	NaN	2
L610_03	4.03	10.69	5.95	8.7	1.78	4.1	2
L610_04	3.87	9.42	4.42	9.02	1.64	3.14	3
L610_05	4.04	10.26	5.03	8.66	2.18	3.63	2
L610_06	3.73	10.75	6.19	9.53	2.22	3.69	2
L610_07	3.8	10.61	6.41	9.11	1.82	3.73	2
L610_08	3.73	9.4	4.19	9.26	1.63	3.23	2
L610_09	4.26	11.24	5.95	10.29	2.12	3.1	2
L610_10	4.19	11.21	6.43	10.07	2.24	3.61	2
L701_01	3.83	9.66	5.84	9.15	2.78	3.64	2
L701_02	2.9	9.44	5.46	8.53	2.55	3.77	2
L701_03	2.9	10.22	4.73	9.38	2.73	3.57	2
L701_04	3.49	11.43	5.66	11.17	2.54	3.36	2
L701_05	4.02	9.19	4.53	9.81	NaN	NaN	2
L701_06	3.6	10.67	6.24	10.86	2.51	3.29	2
L701_07	3.83	11.16	7.08	9.97	2.66	3.68	2
L701_08	3.31	10.76	5.15	9.32	2.07	2.63	2
L701_09	3.5	10.76	5.66	9.99	NaN	NaN	2
L701_10	4.13	11.61	6.23	10.37	3.09	3.25	2
L702_01	3.13	9.87	5.41	9.6	2.66	3.04	2
L702_02	3.53	10.03	5.13	8.73	2.03	3.6	2
L702_03	3.17	9.81	5.19	9.3	2.09	3.93	2
L702_04	3.26	9.03	4.72	8.8	1.94	3.53	2
L702_05	3.03	9.05	4.71	8.58	NaN	NaN	1
L702_06	3.1	8.72	4.43	9.2	2.66	3.09	2
L702_07	3.26	9.1	5.18	8.5	2.35	3.23	2
L702_08	3.26	9.12	4.85	9.1	NaN	NaN	2
L702_09	3.59	9.61	5.27	9.01	2.48	3.83	2
L703_01	3.12	7.21	3.29	8.98	1.95	3.49	2
L703_02	3.35	8.11	3.75	9.32	NaN	NaN	3
L703_03	2.72	7.74	3.82	7.58	1.75	2.66	3
L703_04	3.18	9.16	4.57	8.96	2.21	2.29	3
L703_05	2.66	6.8	3.32	7.76	1.68	1.96	2
L703_06	2.81	7.98	4.45	8.38	1.65	3.1	2
L703_07	3.35	8.54	4.41	8.54	1.75	2.97	2
L703_08	3.03	6.8	3.57	7.84	1.55	3.14	2
L703_09	3.14	8.85	4.97	8.76	1.96	2.98	2
L704_01	3.74	8.62	4.83	9.92	2.12	2.98	2
L704_02	3.2	8.83	3.77	8.95	1.95	2.65	2
L704_03	3.2	9.19	4.55	9.34	1.87	3.52	2
L704_04	3.45	9.81	5.8	9.9	2.3	2.61	2
L704_05	3.38	9.87	4.88	9.25	2.16	3.41	2
L704_06	3.1	9.44	6.13	9.76	1.95	2.79	3
L704_07	3.2	8.98	4.3	9.24	2.17	2.85	2
L704_08	3.26	9.71	5.21	9.13	2.21	3.54	2
L704_09	3.33	8.34	5.46	8.78	NaN	NaN	2
L704_10	3.43	9.83	5.94	9.85	2.31	3.48	2
L705_01	3.04	9.28	5.24	9.42	1.97	2.82	2
L705_02	2.77	8.62	4.55	8.26	NaN	NaN	2
L705_03	3.56	7.98	4.42	8.77	NaN	NaN	2
L705_04	3.23	8.22	5.74	9.58	1.98	2.65	2
L705_05	3.49	8.43	4.4	9.23	NaN	NaN	2
L705_06	3.23	7.04	3.82	8.12	2.02	2.99	2
L705_07	3.5	9.52	5.96	9.52	2.17	3.4	2
L705_08	3.63	8.66	5.22	8.53	1.66	2.91	2
L705_09	2.97	8.78	5.35	8.88	2.13	3.2	NaN
L706_01	4.03	9.51	4.22	8.61	1.88	3.03	2
L706_02	3.9	9.98	4.77	9.94	1.73	2.17	2
L706_03	3.71	12.43	7.43	10.87	1.98	2.34	2
L706_04	3.82	11.23	5.68	9.42	2.23	2.41	1
L706_05	4.1	11.09	6.12	10.83	1.99	3.24	1
L706_06	4.15	11.38	7.86	11.41	1.76	2.27	1
L706_07	3.76	12.55	6.34	10.7	1.85	2.45	2
L706_08	3.93	12.05	6.25	10.34	1.86	2.69	2
L706_09	4.03	11.14	5.62	9.9	1.68	2.68	2
L706_10	3.74	10.02	5.05	9.64	1.96	2.92	1
L708_01	3.8	12.44	7.12	10.32	2.41	3.18	2
L708_02	3.43	10.98	6.74	11.07	NaN	NaN	2
L708_03	3.96	10.85	5.73	11.01	2.23	3.16	2
L708_04	3.25	9.43	4.55	9.23	1.92	2.69	2
L708_05	3.73	11.53	6	10.65	2.43	3.39	2
L708_06	3.72	10.66	6.3	10.01	2.38	3.29	2
L708_07	3.63	10.87	7.06	10.54	2.48	2.81	2
L708_08	3.89	11.13	6.03	11.42	2.29	3.29	2
L708_09	3.47	9.37	5.88	10.24	2.03	2.61	2
L708_10	3.55	11.22	5.91	9.9	2.27	3.4	2
L709_01	3.86	9.69	5.28	9.79	1.73	2.04	2
L709_02	3.83	10.6	5.52	10.15	1.54	1.99	2
L709_03	3.64	9.6	4.12	9.11	1.49	2.09	2
L709_04	3.4	10.39	5.47	9.85	1.6	2.13	2
L709_05	4.06	9.61	5.09	9.46	1.82	2.32	2
L709_06	3.6	11.14	6.5	9.17	1.53	2.45	2
L709_07	3.63	9.81	5.13	8.74	1.76	2.54	2
L709_08	3.23	10.48	5.16	9.75	2.27	1.76	2
L709_09	3.86	9.3	4.41	9.03	2.31	1.77	2
L709_10	3.53	10.42	5.94	9.67	NaN	NaN	2
L710_01	3.23	9.21	4.97	9.71	1.43	1.98	2
L710_02	4.13	10.41	4.48	9.51	1.81	2.96	2
L710_03	3.74	10.79	6	10.16	1.7	2.49	2
L710_04	3.43	10.18	4.45	9.44	1.32	2.13	2
L710_05	3.84	8.95	4	8.83	1.61	2.2	2
L710_06	3.57	10.34	5.52	9.08	1.51	2.36	2
L710_07	3.58	8.74	4.69	8.39	1.62	2.3	2
L710_08	3.43	8.77	5.27	8.51	1.16	1.99	2
L710_09	3.66	9.94	4.43	8.87	1.75	2.21	2
L710_10	3.2	9.21	4.29	8.5	1.75	2.65	2
L801_01	2.8	10.56	5.76	9.74	NaN	NaN	2
L801_02	2.88	11.3	5.47	9.23	NaN	NaN	2
L801_03	2.92	9.73	5.07	8.67	NaN	NaN	2
L801_04	3.32	11.26	5.49	10.07	2.39	1.85	2
L801_05	2.83	10.52	7.18	8.08	2.08	2.37	1
L801_06	2.78	9.53	6.62	8.62	NaN	NaN	1
L801_07	3.05	10.38	5.72	9.51	NaN	NaN	2
L804_01	2.68	9.2	4.3	9.91	NaN	NaN	2
L804_02	3.68	9.58	4.88	9.45	NaN	NaN	2
L804_03	3.04	8.86	3.71	8.82	2.73	2.99	2
L804_04	3.14	10.84	5.01	10.03	1.93	2.14	2
L804_05	3.08	11.38	5.71	10.4	NaN	NaN	2
L805_01	2.51	7.64	4.3	7.18	1.16	1.99	2
L805_02	3.32	10.43	6.26	9.44	1.41	2.77	2
L805_03	2.41	8.17	3.1	7.68	1.34	2.5	2
L805_04	2.9	8.93	4.53	8.79	1.37	2.72	3
L805_05	2.98	8.37	5.18	7.51	1.01	2.06	2
L805_06	2.72	7.77	3.59	7.6	1.48	3.15	2
L805_07	2.96	8.76	5.02	8.45	1.51	2.46	2
L805_08	2.5	9.11	4.79	8.94	1.71	2.76	2
L805_09	2.38	9.53	5.71	8.51	0.97	1.35	2
L805_10	2.5	7.92	4.44	8.14	1.28	2.03	2
L806_01	3.05	10.34	5.31	11.12	NaN	NaN	2
L806_02	3.42	9.62	3.62	8.85	1.76	2.52	3
L806_03	2.99	10.53	5.72	9.35	NaN	NaN	2
L806_04	2.93	10.63	3.82	9.86	NaN	NaN	2
L806_05	3.38	10.15	4.14	9.82	1.73	2.25	2
L806_06	3.32	10.13	4.99	9.2	NaN	NaN	3
L806_07	3.02	11.19	5.1	9.75	1.96	2.54	2
L806_08	3.18	11.1	6.53	10.08	1.58	2.17	3
L807_01	3.18	10.1	5.13	9.65	NaN	NaN	NaN
L807_02	2.9	10.26	6.96	9.03	1.43	1.67	NaN
L807_03	3.18	10.39	5.5	10.02	0.81	1.47	NaN
L807_04	2.95	9.67	5.2	8.58	1.16	1.63	NaN
L807_05	3.3	8.93	3.5	9.19	NaN	NaN	NaN
L807_06	3.25	9.02	3.29	8.99	1.43	2.08	NaN
L808_01	2.78	10.29	5.91	9.02	2.07	2.37	2
L808_02	3.04	10.3	5.98	8.56	2.04	3.23	1
L808_03	3.08	8.97	4.25	7.83	1.78	2.58	1
L808_04	3.12	11.05	4.57	8.57	1.92	2.58	2
L810_01	3.08	11.6	7.44	10.89	2.73	2.47	3
L810_02	3.17	10.34	5.08	10.22	NaN	NaN	2
L810_03	3.5	10.93	5.86	9.43	NaN	NaN	3
L901_01	2.6	11.11	5.04	10.02	1.91	2.87	2
L901_02	3.16	10.2	6.34	10.05	2.04	2.99	2
L901_03	3.01	11.33	5.94	9.53	2.23	3.05	2
L901_04	2.9	10.39	6.01	8.95	1.75	2.98	2
L901_05	2.91	9.4	5.29	8.01	1.75	2.59	2
L901_06	2.94	11	5.78	10.47	1.97	2.95	2
L901_07	3	9.22	5.94	8.89	2	3.54	2
L901_08	3.35	9.86	6.42	9.48	1.97	3.11	2
L901_09	2.76	10.21	5.43	9.37	1.57	2.65	2
L901_10	2.6	9.36	4.41	8.68	1.95	2.66	2
L902_01	2.57	8.83	4.91	8.12	1.87	3.59	2
L902_02	3.2	9.41	4.87	7.89	2.39	5.75	2
L902_03	3.2	9.77	4.96	7.81	1.8	2.88	1
L902_04	3.04	8.6	3.8	7.72	2.19	3.93	2
L902_05	2.87	8.52	4.4	7.69	1.85	3.72	1
L902_06	2.8	8.84	4.46	8.38	1.88	3.81	2
L902_07	3.06	7.01	3.55	6.75	NaN	NaN	2
L902_08	2.86	8.06	4.32	7.13	1.88	3.81	2
L903_01	2.99	8.64	3.1	8.38	1.72	2.62	2
L903_02	3.17	7.93	4.45	9.93	2.22	3.6	2
L903_03	2.64	8.76	4.4	9.86	2.25	3.3	2
L903_04	3	8.47	4.54	10.24	2.31	2.86	2
L903_05	3.08	7.78	3.9	8.36	2.03	3.31	2
L903_06	3.17	8.85	4.96	9.61	2.32	3.64	2
L903_07	3.05	7.95	4.6	9.88	2.04	3.16	2
L903_08	2.74	7.36	3.6	8.93	2.12	3.07	2
L903_09	3.09	8.14	4.9	9.05	1.89	3.63	2
L903_10	2.83	7.23	2.94	9.37	2.4	3.34	2
L904_01	2.95	9.76	6.07	8.33	2.45	3.59	2
L904_02	3.26	10.53	5.61	9.33	2.38	3.34	2
L904_03	2.91	9.73	5.63	10.03	NaN	NaN	2
L904_04	3.2	10.71	5.53	10.66	NaN	NaN	2
L904_05	3.29	10.56	5.69	9.32	2.11	3.56	2
L904_06	2.78	10.91	5.96	10.42	NaN	NaN	2
L904_07	2.31	11.63	6.52	10.56	NaN	NaN	2
L904_08	2.93	9.6	6.23	9.25	2.16	3.47	2
L904_09	3.02	10.78	6.22	9.4	1.98	3.78	2
L904_10	3.03	9.54	4.68	8.74	2.03	3.27	2
L905_01	3.4	10.38	5.95	9.48	2.18	3.35	2
L905_02	3.49	8.85	4.14	7.85	1.83	2.57	2
L905_03	3.34	10.51	5.68	9.28	1.93	3	2
L905_04	3.46	10.27	5.28	9.07	2.09	2.89	2
L905_05	3.18	9.21	4.6	8.77	2.23	3.42	2
L905_06	3.21	9.41	4.78	7.66	2.22	2.61	2
L905_07	3.68	9.75	4.65	9.5	1.99	2.5	1
L905_08	3.56	8.98	3.9	8.27	2.14	3.5	2
L905_09	3.37	9.22	5.02	8.18	2.31	3	1
L905_10	3.27	9.65	5.24	8.27	1.89	2.67	2
L906_01	3.31	13.09	7.56	10.45	NaN	NaN	2
L906_02	3.92	11.96	4.99	9.82	NaN	NaN	3
L906_03	3.13	11.92	7.29	10.28	NaN	NaN	2
L906_04	2.56	10.76	5.21	9.6	NaN	NaN	2
L906_05	3.65	12.02	7.34	9.53	NaN	NaN	2
L906_06	3.5	10.35	4.67	8.69	2.2	3.13	2
L906_07	3.82	12.35	7.18	10.3	NaN	NaN	2
L906_08	3.55	10.97	6.02	8.68	2.06	3.66	2
L906_09	3.26	13.04	7.01	10.24	NaN	NaN	2
L906_10	3.59	11.61	6.79	8.67	1.95	3.07	2
L907_01	3.93	11.9	7.72	10.52	2.6	3.16	2
L907_02	3.16	11.21	6.11	10.72	1.86	2.64	2
L907_03	2.8	9.47	5.59	8.82	2.19	2.66	2
L907_04	3.5	11.05	6.34	9.46	2.29	2.79	2
L907_05	2.99	9.8	5.69	9.58	NaN	NaN	2
L907_06	3.26	9.27	5.16	9.69	NaN	NaN	2
L907_07	3.26	10.26	5.42	9.4	NaN	NaN	2
L908_01	3.93	10.38	4.87	8.56	1.82	2.77	1
L908_02	3.84	10.64	4.74	9.06	NaN	NaN	2
L908_03	4.17	10.84	5.18	9.32	1.68	2.08	2
L908_04	4.22	11.19	6.17	9.88	1.7	2.16	2
L908_05	4.3	10.39	4.63	9.28	1.82	2.11	2
L908_06	4.09	10.53	4.34	9.95	1.65	1.99	2
L908_07	3.73	10.91	7.07	9.28	1.92	2.31	2
L908_08	4.24	10.68	5.2	9.09	1.58	1.99	2
L908_09	3.54	9.71	6.37	8.63	NaN	NaN	1
L908_10	3.83	11.24	5.52	10.24	NaN	NaN	2
L909_01	3.33	10.4	6.44	8.84	2	4.04	2
L909_02	3.43	10.08	5.98	8.41	1.57	3.45	2
L909_03	3.34	9.72	6.38	9.37	2.16	3.79	3
L909_04	3.41	7.51	4.89	7.69	2.39	3.6	2
L909_05	3.42	9.72	5.76	9.67	1.94	4.49	2
L909_06	3.24	11.07	7.31	9.14	NaN	NaN	2
L909_07	3.85	10.4	6.83	8.98	1.97	3.77	2
L909_08	3.5	9.52	5.86	9	2.02	3.64	2
L909_09	3.16	9.08	4.12	7.75	1.73	3.78	2
L909_10	3.36	10.43	5.4	8.89	2.26	2.86	2
L910_01	3.23	8.43	4.17	7.65	3.7	5.18	2
L910_02	3.03	8.26	3.91	7.7	3.16	4.13	2
L910_03	3.03	7.83	4.34	7.17	2.63	5.23	2
L910_04	2.93	7.56	2.39	7.12	4.02	4.6	2
L910_05	2.8	7.95	3.72	7.8	5.46	6.92	2
L910_06	2.28	7.54	4.6	6.38	NaN	NaN	1
L910_07	2.78	7.91	4.53	7.5	4.16	5.46	2
L910_08	2.82	8.18	5.05	7.85	NaN	NaN	2
L910_09	2.95	7	3.4	7.03	5.14	5.7	2
L910_10	2.36	7.12	3.39	6.86	6.33	4.1	2
L911_01	3.02	9.8	5.37	8.99	2.04	3.23	2
L911_02	3.1	10.18	6.28	9.05	1.86	3.37	2
L911_03	3.03	10.25	5.42	8.48	2.11	3.44	2
L911_04	3.14	9.43	4.64	8.37	2.29	3.4	2
L911_05	3.07	10.69	5.01	9.5	2.5	3.46	2
L911_06	3.45	11.14	5.48	9.85	2.3	3.4	2
L911_07	3.16	9.44	4.78	8.85	2.18	3.21	2
L911_08	2.94	9.13	4.3	8.65	2.3	3.02	2
L911_09	3.03	9.36	5.22	8.62	2.06	3.24	2
L911_10	2.74	9.73	5	8.94	2.13	3.46	2
L912_01	3.13	10.87	5.98	9.15	NaN	NaN	2
L912_02	3.19	10.97	6.77	9.96	NaN	NaN	2
L912_03	3.16	10.87	5.56	9.41	2.13	2.99	2
