Id	DR	L	WP	W	SL	SW	P
HMAC501_03	2.94	10.72	5.24	10.49	2.11	2.3	2
HMAC501_04	3.19	10.31	5.07	11.59	NaN	NaN	2
HMAC501_05	3.04	10.57	5.03	11.61	NaN	NaN	2
HMAC501_06	3.13	9.73	3.76	11.12	1.82	2.72	2
HMAC501_07	3.21	10.4	5.01	10.03	2.49	2.97	2
HMAC501_08	3.08	9.43	4.97	10.42	1.98	2.49	2
HMAC501_09	3.12	11.24	5.56	10.67	2.05	2.95	2
HMAC501_10	3.02	9.72	5.63	10.47	NaN	NaN	2
HMAC502_01	3.26	8.72	4.02	9.37	NaN	NaN	2
HMAC502_02	3.14	7.54	4.12	8.22	2.57	3.1	2
HMAC502_03	3.38	9.48	5.39	8.64	2.03	3.36	2
HMAC502_04	3.46	8.92	4.5	9.25	2.43	3.31	2
HMAC502_05	3.67	8.74	4.38	9.13	3.34	2.8	2
HMAC502_06	3.2	8.93	5.3	8.97	NaN	NaN	2
HMAC502_07	3.61	10.81	5.77	9.03	2.57	3.22	2
HMAC502_08	3.13	7.64	4.74	8.24	NaN	NaN	1
HMAC502_09	3.27	7.94	4.68	8.6	NaN	NaN	2
HMAC504_01	3.37	11.43	5.91	9.66	NaN	NaN	1
HMAC504_02	3.57	12.19	5.95	9.83	2.73	4.21	1
HMAC504_03	3.42	11.73	6.45	11.51	NaN	NaN	1
HMAC504_04	3.2	11.67	6.73	10.61	NaN	NaN	1
HMAC504_05	3.18	9.24	4.76	8.95	NaN	NaN	1
HMAC504_06	3.44	11.46	6.94	10.75	NaN	NaN	1
HMAC504_07	3.43	13.65	7.1	10.79	NaN	NaN	1
HMAC504_08	2.89	11.3	6.22	9.54	NaN	NaN	1
HMAC504_09	3.03	11.01	5.08	9.77	NaN	NaN	1
HMAC504_10	3.08	9.86	5.46	8.98	NaN	NaN	1
HMAC505_01	3.4	12.32	5.36	10.47	NaN	NaN	1
HMAC505_02	3.63	12.94	5.06	11.25	NaN	NaN	2
HMAC505_03	3.35	10.88	4.46	10.25	NaN	NaN	2
HMAC505_04	2.93	11.28	4.53	9.22	NaN	NaN	1
HMAC505_05	3.2	11.53	5.81	10.43	NaN	NaN	2
HMAC505_06	3.03	10.98	6.53	8.95	NaN	NaN	1
HMAC505_07	3.4	11.45	5.49	10.37	4.08	4.15	2
HMAC505_08	3.3	11.94	4.59	10.88	3.59	3.72	1
HMAC505_09	3.1	12.76	5	11.05	NaN	NaN	1
HMAC506_01	3.46	13.91	6.56	11.78	4.14	3.52	2
HMAC506_02	3.06	11.81	7.03	11.14	NaN	NaN	2
HMAC506_03	3.4	12.62	6.01	10.92	NaN	NaN	2
HMAC506_04	3.19	12.72	7.21	10.51	NaN	NaN	2
HMAC506_05	2.64	13.42	5.62	9.78	2.46	2.97	2
HMAC506_06	3.4	11.29	4.76	10.15	4.81	5.42	2
HMAC506_07	4.03	13.68	6.22	11.29	NaN	NaN	2
HMAC506_08	3.03	11.4	5.12	10.75	NaN	NaN	2
HMAC507_01	3.3	8.72	4.87	7.85	NaN	NaN	2
HMAC507_02	3.08	11.1	5.81	8.87	NaN	NaN	1
HMAC507_03	3.09	10.62	7.23	9.25	1.68	3.12	1
HMAC507_04	3.18	10.76	5.35	8.45	NaN	NaN	2
HMAC507_05	2.81	10.99	5.87	8.47	NaN	NaN	1
HMAC507_06	3.02	10.39	5.95	8.57	3.25	2.88	2
HMAC507_07	2.72	9.34	4.59	6.98	3.15	3.38	2
HMAC507_08	3.07	9.83	5.61	8.23	3.2	2.64	1
HMAC507_09	3.43	9.36	6.01	7.1	NaN	NaN	2
HMAC508_01	3	11.06	7.17	10.88	NaN	NaN	1
HMAC508_02	3.27	10.58	6.53	11.03	2.84	2.86	2
HMAC508_03	3.19	10.46	5.79	8.12	NaN	NaN	1
HMAC508_04	3.22	9.92	6.55	9.82	NaN	NaN	1
HMAC508_05	3.26	12.55	6.68	10.05	2.76	3.21	1
HMAC508_06	3.25	10.52	8.01	8.7	NaN	NaN	1
HMAC508_07	3.24	9.8	5.12	9.42	NaN	NaN	2
HMAC508_08	3.49	9.28	6.63	8.83	3.1	3.16	1
HMAC508_09	2.78	8.85	6.29	7.78	NaN	NaN	1
HMAC508_10	2.83	11.67	7.63	8.87	2.98	2.85	NaN
HMAC510_01	3.26	10.35	5.94	10.35	2.53	3.77	2
HMAC510_02	3.28	10.09	5.39	9.79	NaN	NaN	2
HMAC510_03	2.91	10.79	6.34	8.74	NaN	NaN	2
HMAC510_04	3.5	10.1	5.65	9.66	NaN	NaN	2
HMAC510_05	3.6	11.05	6.94	9.22	NaN	NaN	2
HMAC510_06	3.39	10.3	5.44	9.38	NaN	NaN	2
HMAC510_07	3.01	9.45	4.6	8.13	NaN	NaN	2
HMAC510_08	2.95	8.09	4.19	7.85	NaN	NaN	2
HMAC510_09	3.06	8.22	4.54	7.85	NaN	NaN	2
HMAC510_10	1.8	7.83	3.55	5.86	NaN	NaN	2
HMAC601_01	3.45	9.95	6.22	8.2	NaN	NaN	1
HMAC601_02	3.46	9.09	5.53	7.69	NaN	NaN	1
HMAC601_03	3.13	10.53	6.18	9.2	NaN	NaN	1
HMAC601_04	3.16	8.15	4.55	8.27	NaN	NaN	1
HMAC601_05	3.2	10.78	4.08	8.65	NaN	NaN	1
HMAC601_06	3.13	10.65	4.76	8.72	NaN	NaN	1
HMAC601_07	3	9.35	5.59	8.74	NaN	NaN	1
HMAC601_08	2.7	10.48	5.57	8.69	NaN	NaN	1
