Id	ProcCoord1_fl	ProcCoord2_fl	ProcCoord3_fl	ProcCoord4_fl	ProcCoord5_fl	ProcCoord6_fl	ProcCoord7_fl	ProcCoord8_fl	ProcCoord9_fl	ProcCoord10_fl	ProcCoord11_fl	ProcCoord12_fl	ProcCoord13_fl	ProcCoord14_fl	ProcCoord15_fl	ProcCoord16_fl	ProcCoord17_fl	ProcCoord18_fl	ProcCoord19_fl	ProcCoord20_fl	ProcCoord21_fl	ProcCoord22_fl	ProcCoord23_fl	ProcCoord24_fl	ProcCoord25_fl	ProcCoord26_fl
R109_10_fl	0.02298133672178085	0.477767385366333	0.0038415289838506783	0.3094599888436024	-0.14216373725437462	0.16059068396223458	-0.3047958182572799	-0.03458786959271389	-0.05494048332608479	0.044389045554791715	-0.231092747732842	-0.25611734382265217	-0.08565264836513656	-0.16909419778585505	-0.01872931412826877	-0.4067896619452135	0.08219557929247485	-0.14158810450742243	0.24696726338630845	-0.2231335353730005	0.03428030789490583	0.08598151509259142	0.30821609193268695	-0.012906996959924567	0.13889264085197875	0.16602909116722914
HMAC202_1_fl	0.03529025034710608	0.5207197626307981	0.0030298243906416167	0.3196776394138628	-0.09838672111446406	0.19956505229789537	-0.26450494575937095	-0.053979802697400416	-0.1006520343903303	-0.02556599499906015	-0.15753904537667693	-0.24066873553306362	-0.07715783464676496	-0.20982508046986917	-0.02023863114858448	-0.35582210272282344	0.05702522249797508	-0.1692991275923609	0.1714924125107977	-0.23425476936608153	0.09754759098530366	0.0276074608342226	0.27093862963234583	-0.01080763007723224	0.08315528207202243	0.23265332828111207
HMAC201_1_fl	-8.57863168683734E-4	0.5674395319353295	0.005939945246165784	0.38353075939846343	-0.12604485513551622	0.24935584810557565	-0.1975405433453863	-0.14020490947134812	-0.0924414432145435	-0.09654508095897164	-0.10937664961005625	-0.20973027147734952	-0.057837480305811345	-0.18203058028141209	-0.019251120036354603	-0.26785289917248667	0.04311502390785808	-0.16554663927980684	0.09952103601946136	-0.20791902697496914	0.11053709131205046	-0.06974301930308777	0.219606426689778	-0.12606178168226367	0.12463043164103876	0.2653080691623251
HMAC201_2_fl	0.0016446540750234273	0.61909965333522	0.013795739194924612	0.44193699356759375	-0.1457620820851607	0.2453305372266436	-0.10763062081665006	-0.17048971206381489	-0.05189846779297769	-0.1450208362459121	-0.05112170340763091	-0.20911203045462406	-0.034745205024917666	-0.19691855719176318	-0.01558368129474155	-0.2370766999004372	0.017468044283866436	-0.19921369167994907	0.009989387103254501	-0.20208370759368777	0.06508122539842241	-0.09554192146902671	0.15951010420062678	-0.16655604177949151	0.1392526061659601	0.31564601424924976
HMAC201_3_fl	-0.012740605805280428	0.5935071242122018	-0.011021701241568399	0.3952893668014613	-0.14732495557070596	0.3017733440995984	-0.17668634312808978	-0.15376069638418444	-0.08980921113557455	-0.10252799410216068	-0.08783324207044782	-0.21833235186441774	-0.045178000557968126	-0.19598180959132785	-0.01195268825250402	-0.25600473325512424	0.027266725492058417	-0.150765281460824	0.10629770914884656	-0.18285492946072116	0.08108049792430704	-0.07199031399983369	0.19127045580420926	-0.13925209476986072	0.17663135939271743	0.1809003697751934
HMAC202_2_fl	-0.0019215801687992168	0.54892228917254	0.009230312882320128	0.32057783364436104	-0.11113707244055533	0.21262973415463363	-0.27182148481916035	-0.094634198760347	-0.11061016994663475	-0.04823237806602786	-0.18235999431238553	-0.20405516517868924	-0.0727837225506876	-0.1508147914885397	0.013565143530668441	-0.34336522144435094	0.06701038390384678	-0.14655047100487495	0.15964203381033037	-0.20127665739840245	0.1004239239387742	-0.014060328470899684	0.273866356256499	-0.07033126249720303	0.12689586991578336	0.19119061733779968
HMAC202_3_fl	-0.003945323876214893	0.5826417347167844	0.004512355718503905	0.333631880853451	-0.08531591769425537	0.23170193392317412	-0.22291116276209258	-0.10271883660225886	-0.09934304973603243	-0.08852342994007156	-0.1379363250618728	-0.2107271836718746	-0.06645593574730499	-0.17585167066059837	-0.023008841696788334	-0.3174422087385684	0.05190207532706817	-0.1423150625505865	0.13301777981749383	-0.22485652520390476	0.1016249435143697	-0.024411673902170628	0.25236647738638845	-0.08381566357968147	0.0954929248107375	0.2226867053563065
HMAC202_4_fl	-0.023389323415119297	0.541992587855004	-0.01582757192179611	0.3875995628836989	-0.11826855718890572	0.22133122792296991	-0.23845790930221042	-0.05231473308566012	-0.0970276988763139	-0.015258714152205624	-0.11924336196058648	-0.20504615498186934	-0.0473994330485121	-0.1776888529572977	-4.666308682442291E-4	-0.31318542337125993	0.06065171308361292	-0.20666808449368182	0.11645094194913666	-0.23858539700412704	0.08799702568644635	-0.04173973603946546	0.26386843190503506	-0.06394925729677109	0.13111237395745712	0.1635129747206645
HMAC202_5_fl	0.041885782194545855	0.5621985829712783	0.01992414669034646	0.34542727521012334	-0.11316367553597653	0.21141434230501707	-0.31012442683605584	-0.08720545250252071	-0.10735524399709563	-0.028838062609493335	-0.19636053211125737	-0.2490091941946072	-0.05864890541015879	-0.3473544668172279	0.01484963293777428	-0.2517387402842589	0.08120470197888806	-0.2898593595534775	0.0845697068860325	-0.07753034596305469	0.22709267112790785	-0.11307964915613586	0.1348026470400239	0.14408652977764935	0.1813234950350254	0.1814885408167083
HMAC202_6_fl	-0.004882546679359161	0.5217629476203529	-0.006254823415850631	0.3457791811068107	-0.12533526377849258	0.2251068383918628	-0.2749019002493145	-0.020165672506811623	-0.0829518643341234	0.005081288300252436	-0.1051866709615432	-0.2444667320717889	-0.056674341163016236	-0.22273414836944297	-0.001155367880498137	-0.32243174419964254	0.05418791146449808	-0.19272726955368552	0.1327564541328633	-0.22851516812815365	0.0820924758591419	-0.009580884251373623	0.2646017938204275	-0.05678665683792862	0.12370414318526748	0.19967802049954894
