"ID"	"Population"	"Taxon"	"DR"	"L"	"WP"	"W"	"SL"	"SW"	"P"
"M208"	"2"	"M"	2.51	8.316	4.726	7.876	2.344	2.588	1
"M210"	"2"	"M"	2.21666666666667	8.59666666666667	3.57	6.96666666666667	2.56666666666667	2.87666666666667	1
"M311"	"3"	"M"	2.44	11.22	5.96	9.14	2.95	3.23	1
"M501"	"5"	"SUB"	2.21666666666667	7.60166666666667	3.87833333333333	6.24333333333333	1.93833333333333	2.23666666666667	1
"M601"	"6"	"SUB"	2.9	10.085	5.03333333333333	8.09166666666667	2.7	3.31666666666667	1
"M701"	"7"	"R"	2.86	10.72625	5.2625	7.95	2.7125	3.12	1
"M702"	"7"	"R"	3.21625	10.74125	5.13125	8.90125	2.535	2.9875	1
"M703"	"7"	"R"	3.034	11.436	5.332	9.576	2.51	2.974	1
"M704"	"7"	"R"	3.57	12.6966666666667	5.68555555555556	9.67555555555555	2.12666666666667	2.05555555555556	1
"M706"	"7"	"R"	3.52888888888889	11.9166666666667	5.52	9.02555555555556	2.22333333333333	2.19111111111111	1.11111111111111
"M707"	"7"	"R"	3.01888888888889	11.8044444444444	5.25333333333333	9.67111111111111	2.65222222222222	3.02333333333333	1.11111111111111
"M708"	"7"	"R"	2.95714285714286	10.2957142857143	5.04142857142857	8.48142857142857	2.34428571428571	2.80428571428571	1
"M709"	"7"	"R"	2.98833333333333	12.5283333333333	5.91166666666667	9.60166666666667	2.54166666666667	2.82333333333333	1
"M710"	"7"	"R"	3.64	13.1728571428571	5.82857142857143	10.34	2.24	2.16714285714286	1
"M711"	"7"	"R"	2.9	11.23875	5.235	9.11375	2.57375	2.9625	1.125
"M712"	"7"	"M"	3.202	11.106	5.526	9.721	2.305	2.819	1.4
"M901"	"9"	"R"	2.885	11.7075	5.6825	8.6925	2.0775	2.26	1
"M902"	"9"	"R"	3.37333333333333	10.005	5.05833333333333	8.295	2.29333333333333	2.33833333333333	1
"M903"	"9"	"R"	2.67428571428571	11.4671428571429	5.46285714285714	8.93285714285714	2.38	3.01571428571429	1
"M904"	"9"	"R"	2.84	11.495	5.265	8.64	2.63666666666667	2.89166666666667	1
"M905"	"9"	"R"	2.84625	11.8075	5.85375	9.10875	2.7475	3.04	1
"M906"	"9"	"R"	3.25111111111111	12.1355555555556	5.73444444444444	9.51444444444444	2.44	2.82666666666667	1
"R001"	"0"	"R"	2.95333333333333	11.1966666666667	5.83166666666667	8.325	2.62666666666667	2.35333333333333	1
"R002"	"0"	"R"	2.5975	10.36	6.2	7.3575	2.17	2.715	1
"R003"	"0"	"R"	2.93	12.77	5.83	7.49	2.57	2.93	1
"R005"	"0"	"R"	2.66	10.86	7.92	8.32	1.99	1.99	1
"R006"	"0"	"R"	3.165	10.08	4.8825	7.86	2.6825	2.6725	1.25
"R105"	"1"	"R"	3.002	9.206	4.81	7.236	3.036	2.308	1
"R106"	"1"	"R"	2.81	9.09	5.33666666666667	6.78666666666667	3.02666666666667	2.34333333333333	1
"R107"	"1"	"R"	3.14	10.78	4.41	8.82	3.34	2.21	1
"R401"	"4"	"R"	3.045	10.19	5.09	7.285	3.715	3.395	2
"R402"	"4"	"R"	2.7	8.99	5.38	5.59	3.5	3.23	1
