"ID"	"Population"	"Taxon"	"DR"	"L"	"WP"	"W"	"SL"	"SW"	"P"	"LM1_x_fl"	"LM1_y_fl"	"LM2_x_fl"	"LM2_y_fl"	"LM3_x_fl"	"LM3_y_fl"	"LM4_x_fl"	"LM4_y_fl"	"LM5_x_fl"	"LM5_y_fl"	"LM6_x_fl"	"LM6_y_fl"	"LM7_x_fl"	"LM7_y_fl"	"LM8_x_fl"	"LM8_y_fl"	"LM9_x_fl"	"LM9_y_fl"	"LM10_x_fl"	"LM10_y_fl"	"LM11_x_fl"	"LM11_y_fl"	"LM12_x_fl"	"LM12_y_fl"	"LM13_x_fl"	"LM13_y_fl"	"LM1_x_sh"	"LM1_y_sh"	"LM2_x_sh"	"LM2_y_sh"	"LM3_x_sh"	"LM3_y_sh"	"LM4_x_sh"	"LM4_y_sh"	"LM5_x_sh"	"LM5_y_sh"	"LM6_x_sh"	"LM6_y_sh"	"LM7_x_sh"	"LM7_y_sh"	"LM8_x_sh"	"LM8_y_sh"	"LM9_x_sh"	"LM9_y_sh"	"LM10_x_sh"	"LM10_y_sh"	"LM11_x_sh"	"LM11_y_sh"	"LM12_x_sh"	"LM12_y_sh"	"LM13_x_sh"	"LM13_y_sh"
"HMAC104"	"1"	"L"	2.68	9.4525	4.4775	7.6625	1.67	1.685	2	0.0167485113051185	-0.553006994726108	-0.00245749212140231	-0.407612513656662	-0.122369249085663	-0.240149119083178	-0.218310917762872	0.0969705537376455	-0.0958177200391152	0.034200298822375	-0.103436729835264	0.233895665936397	-0.0482185209047333	0.19212194725229	0.0198473010552262	0.276349571789978	0.0607102889895822	0.194338797682312	0.106569473475398	0.227957988930854	0.103116796758587	0.0686860195222267	0.198275142905834	0.107831343968754	0.0853431152593049	-0.231583560176884	-0.000107713043364531	-0.599240140644445	0.00479095896921417	-0.397332118076003	-0.100400680954701	-0.233370078341424	-0.20253061214748	0.112447392398829	-0.0983277654832206	0.0756567599846562	-0.0833428617607575	0.211702833079545	-0.0412187078805586	0.18608585283484	0.0158634419380642	0.262445354161378	0.0521946904366732	0.193018062121241	0.0826994655624163	0.212688384607248	0.09476565032443	0.0883187257819025	0.180607234340282	0.117669260484505	0.0950068996990035	-0.230090288392275
"HMAC105"	"1"	"R"	3.165	10.55	6.235	7.335	2.455	1.99	1	-0.00146123526407684	-0.514834845478584	0.0055725843516284	-0.329810095161283	-0.111537379718285	-0.21591374523514	-0.274859181932306	0.0559653995901098	-0.111856547545276	0.0251434527551463	-0.164286193066791	0.228589040077013	-0.0759429591127177	0.176023557254944	-0.00397742509175003	0.339308570291296	0.0716209399754968	0.160612638771496	0.161629731484949	0.230937375053365	0.116190512464071	0.0129445687831525	0.272224134655622	0.0437114453081539	0.116683018799435	-0.21267736200967	0.00925217314468603	-0.560295161969864	0.00404346282314441	-0.325074043343769	-0.116488206645514	-0.208222773157912	-0.261963112519674	0.0706917696927404	-0.102425548744325	0.0266412400528434	-0.126073613107081	0.235143440308118	-0.0598598240571718	0.18705050052061	-0.00612999894659609	0.297468683115848	0.055458719627296	0.176808750134327	0.128398586649442	0.232803413791293	0.109281596250801	0.0222190908526743	0.274045146564402	0.0604248101959866	0.0924606189605903	-0.215659720192896
"HMAC202"	"2"	"MAC"	2.8	11	5.85	8.03	3.28	3.01	1	0.0071728764003599	-0.546372984161126	0.00243570739069423	-0.342115562185385	-0.108601201292108	-0.216958188165925	-0.263786971621367	0.0685031160258331	-0.0996566768800884	0.0335562152444343	-0.149770988297387	0.225662194271982	-0.0631866954277408	0.214044835127163	-0.00274244918761208	0.317330906793484	0.0619970013759815	0.191236562458111	0.132988221517776	0.200836477177287	0.116129771851991	0.0292108018309704	0.24340738934012	0.0236006567518612	0.123614014829382	-0.19853503116869	0.0408385850582621	-0.597917532687344	-0.0316204919551063	-0.341245589106525	-0.0984005881988134	-0.184640770560754	-0.230755177751803	0.0887098577689598	-0.0892376520044982	0.0297643597815928	-0.120359153432499	0.233551280960341	-0.0478288296078154	0.178919061253377	-0.0150930425656639	0.306551931530075	0.0535495344014247	0.171098406165507	0.131389259381747	0.231642577746572	0.0861358992262806	0.0167213773651765	0.250490894460756	0.0630911012595494	0.0708907629877278	-0.196246061476527
"HMAC501"	"5"	"MAC"	3.096	10.304	4.908	10.546	2.09	2.686	2	0.0207321381403264	-0.574900101855163	0.00151924640206701	-0.356563489312205	-0.147197324841247	-0.24218564683466	-0.249143041991539	0.106998282851782	-0.120638932108876	0.0585699592569785	-0.0770611672496826	0.248544932543742	-0.0435091276647436	0.187794557796593	0.0109531819014075	0.257430326533298	0.0487328778747561	0.179071280801827	0.0837220343063003	0.209639951661717	0.101519779440425	0.036403352597803	0.231622442178274	0.0879088984987397	0.138747893612532	-0.198712304540451	0.0180119098281661	-0.659166157307003	0.00763710952969814	-0.293091437449728	-0.148201846854625	-0.141468628971037	-0.223041258576734	0.094101350517138	-0.0962368510730385	0.0572985174449261	-0.117001380551597	0.208237902042351	-0.0653371101238963	0.184206837428243	-0.0278886968465067	0.268877130216643	0.0578315984915927	0.172893304998963	0.122442435885808	0.215338357891299	0.106660107698984	0.0154609958535035	0.238326950106176	0.0492281115028984	0.126797032485972	-0.171916284168196
"HMAC502"	"5"	"L"	3.452	9.098	4.832	8.854	2.588	3.158	2	-0.0369427178077867	-0.538710564046997	0.00811273955056374	-0.388258563035524	-0.141814095537338	-0.226278532703015	-0.235320124872278	0.0882419568934862	-0.0756536245542628	0.0556554884611883	-0.0730316824023282	0.219483208234958	-0.0420137674333605	0.191234995759984	-0.0120642032782773	0.254211915805636	0.0389184087566425	0.198846229378642	0.0582491221024987	0.230428430520417	0.0978126730639164	0.0427063981743278	0.246977840834452	0.143367592413467	0.166769431577559	-0.270928555856572	0.0287839443877398	-0.570176176529835	0.00922064775370682	-0.424956770427113	-0.117017369022112	-0.212054363547432	-0.223020915680619	0.128176533277579	-0.115642702149823	0.0812342415346892	-0.0949432276633747	0.229828268410714	-0.0520210935998297	0.186514358449755	0.0123008206698252	0.274270845123532	0.0600634922607517	0.167804739162054	0.11388121709372	0.207176912382889	0.0860948560720863	0.040505193691245	0.186439032742202	0.0949111071942994	0.105861297135726	-0.203234888722375
"HMAC505"	"5"	"MAC"	3.35	11.695	5.04	10.625	3.835	3.935	1.5	0.0278944833241979	-0.551568096438942	-0.00270532175213349	-0.307291462180885	-0.134469437972883	-0.195741522738484	-0.280646549271981	0.0602155272846991	-0.083539510757712	-0.0189220183860998	-0.15688753727399	0.242510270627083	-0.0603832525113598	0.179623890369917	0.0291701664288648	0.336986522637316	0.0640675885719193	0.173708227199963	0.151631946704311	0.224556659324903	0.0795500715073825	-0.00947602942961589	0.260522254160635	0.0570552984553617	0.10579509884275	-0.191657266725216	-0.0328818907345693	-0.529823123225704	-0.0085285003075367	-0.505739310461478	-0.28572483549777	-0.267357803086722	-0.302948738717223	0.0966516309579407	-0.0693363231898853	0.100904313196711	-0.228656027365367	0.216254053949471	-0.0364347996750596	0.119112786233011	-0.0331978281663211	0.290795805488369	0.0283192387763252	0.231391168160568	0.216003427265828	0.183318373305574	0.0285762677524348	-0.0728504931498853	0.287609114782102	-0.0219395749988392	0.23082569486734	0.00327178428295136
"HMAC506"	"5"	"MAC"	3.16666666666667	12.8733333333333	5.64666666666667	10.57	3.80333333333333	3.97	2	-0.0118310177933706	-0.589651761285494	0.00454910565094614	-0.278488946224741	-0.0985880491044407	-0.192748205398931	-0.303440181130773	0.0662092071321833	-0.0783276161989534	-0.0015249002504489	-0.158604242527543	0.22554514646391	-0.0494384693901345	0.156893456420355	0.00652441657587313	0.319404761818542	0.0580148517772765	0.162910512512319	0.164105542737643	0.234327084384537	0.074923952118169	0.00163970178728355	0.275821431663944	0.0623744932278152	0.116290275621363	-0.166890550587332	-0.0127874612180474	-0.647450361894232	0.0148377236414859	-0.309186293750741	-0.0608229004730445	-0.206415177027923	-0.236143500788666	0.104012362331511	-0.0952153876307034	0.0499742366990966	-0.11537068846333	0.21377366935451	-0.0457796841842961	0.176264885633279	0.0177620862761379	0.281387254654463	0.0572791691006736	0.174762929237213	0.101075644432043	0.212583743111578	0.08002397488233	0.0414359272446019	0.218538430922068	0.110855809330424	0.0766025935033481	-0.20199898492378
"HMAC507"	"5"	"MAC"	2.975	10.045	5.845	8.2575	2.82	3.005	1.5	-0.00691602421527171	-0.55083890112448	-0.00704485221864965	-0.361912547959391	-0.136416926007291	-0.197155478880498	-0.231880647781364	0.0699481826945535	-0.104200783637997	0.000734588476775332	-0.138258448419405	0.205785578307021	-0.0622910309728254	0.142457338589916	0.00654917291170169	0.328090410865037	0.0650591811523267	0.176930144676385	0.139130380187788	0.247872886907491	0.10617085269127	0.0436964032628944	0.258187439477662	0.0840140724681693	0.111911686832055	-0.189622678283872	0.00266192829507302	-0.624256544298709	0.0123800155971676	-0.302261136611655	-0.171449792071787	-0.131113152052748	-0.214075124842904	0.071382931300838	-0.129095454705557	0.0285310876118019	-0.140034742760587	0.188183293458784	-0.0669398113134452	0.139635578011018	0.0169913963105542	0.308641382112244	0.0746431849214888	0.183046541949194	0.124578637615054	0.210363786074101	0.120554830143771	0.0497927586144845	0.22614385373799	0.0977480415925298	0.143641079073181	-0.219694567761878
"HMAC508"	"5"	"MAC"	3.34	10.8033333333333	6.61333333333333	9.97	2.9	3.07666666666667	1.33333333333333	0.0215329650547029	-0.578539626607572	-0.00262925996685892	-0.381975352894501	-0.170849065664569	-0.230083020244912	-0.225616101687061	0.125436051784123	-0.110301660608363	0.0648663456088227	-0.0741880654355618	0.221984356136451	-0.0473305025756025	0.189547896997646	-0.000709171865583546	0.254742481339821	0.0574794640067807	0.186483681386023	0.082469227920118	0.204513591717755	0.0946723551911562	0.0466036522475094	0.212381512553779	0.0954480832682483	0.163088303077063	-0.199028140739413	0.0979856149320807	-0.542608871734586	0.0044857356912708	-0.505739310461478	-0.28572483549777	-0.0534493631304672	-0.306139641312459	0.13965425505133	-0.0274970925667282	0.100904313196711	-0.213938062302385	0.170603476545027	-0.0207126405499466	0.110824022800114	0.0432185000040045	0.281529422533129	0.0234980758436215	0.239743075933281	0.214088250603254	0.183318373305574	0.0844022334970061	-0.0577433959820228	0.206479925717955	-0.0579552448443113	0.0984365666418937	-0.0857827703981611
"HMAC510"	"5"	"MAC"	3.26	10.35	5.94	10.35	2.53	3.77	2	-0.030535524572693	-0.62620806681768	0.00729799379078941	-0.331612169710163	-0.171374044208106	-0.156617342146517	-0.233454549794025	0.0698563775954994	-0.107352296435514	0.0156325452679089	-0.096168770023652	0.205880044114076	-0.0611554165665381	0.170339717744011	-0.00319159442051899	0.289517743673658	0.0500888007190268	0.173883499177485	0.102006426435337	0.207424947519919	0.118143039904603	0.0373595818005535	0.228908995110935	0.0849036314394019	0.196786940060357	-0.140360509658153	-0.0649819684623428	-0.527809780488472	-0.0201521086803049	-0.463785684625064	-0.247990001408639	-0.267357803086722	-0.267406911772245	0.0496441151767735	-0.0267898321030952	0.100218147028598	-0.213938062302385	0.173198480283572	-0.00782202781054908	0.119112786233011	-0.0472264180735133	0.380295983005478	0.0283192387763252	0.238942310847633	0.222163166945386	0.186463345946135	0.0238128295749298	-0.0650990640634601	0.242324903951125	-0.0219395749988392	0.233144832066944	-0.0428690269210862
