Id	ProcCoord1_sh	ProcCoord2_sh	ProcCoord3_sh	ProcCoord4_sh	ProcCoord5_sh	ProcCoord6_sh	ProcCoord7_sh	ProcCoord8_sh	ProcCoord9_sh	ProcCoord10_sh	ProcCoord11_sh	ProcCoord12_sh	ProcCoord13_sh	ProcCoord14_sh	ProcCoord15_sh	ProcCoord16_sh	ProcCoord17_sh	ProcCoord18_sh	ProcCoord19_sh	ProcCoord20_sh	ProcCoord21_sh	ProcCoord22_sh	ProcCoord23_sh	ProcCoord24_sh	ProcCoord25_sh	ProcCoord26_sh
HMAC007_2_sh	0.00781502635341439	0.5547516694180811	0.008012510348131285	0.42220032451180756	-0.12889066182231454	0.24768605098642626	-0.18461204037814583	-0.13427590286107363	-0.11442945289468257	-0.09639843637953076	-0.09003611107451408	-0.20679466282250075	-0.06018253097517952	-0.1907635869000847	0.0034783249387395215	-0.2720834161824529	0.0492567856987438	-0.17848024664072884	0.09854320522023546	-0.20085046277661453	0.09739514097587701	-0.06978590113855393	0.19273713423642697	-0.12965333640146348	0.12091266937326876	0.2544479071866898
HMAC007_3_sh	0.0058426343804855105	0.5854150143564876	-0.0019549709034192356	0.39155324769464284	-0.1274301572016677	0.21415618985566756	-0.22406412596165468	-0.10574011444750042	-0.11332809137529137	-0.05135927178390881	-0.11547485689257961	-0.19241349684513195	-0.04677792763524357	-0.1530727825360765	0.045657186313096954	-0.28878370644122625	0.07773008369047914	-0.2043162340115873	0.10528379910234685	-0.22284985412821035	0.0951956631697187	-0.059051481207713	0.17915743398713876	-0.10873746354155114	0.12016332932658949	0.19519995303610768
HMAC007_6_sh	0.01920191495527833	0.6095199113995311	9.38317943116121E-5	0.40141588088095326	-0.09181446685275195	0.2268158803617	-0.1808845363920321	-0.13300388999040397	-0.10287531024190666	-0.0845280631837359	-0.09587291921934406	-0.20701578203101265	-0.045797262841973094	-0.16142551036936467	0.024525422713488138	-0.30525812485166465	0.05467234377476893	-0.19353153890615915	0.08877207223433127	-0.22102730979512542	0.07616955080385916	-0.059260513874118015	0.1583201236665734	-0.07951502899358992	0.09548923560539674	0.20681408935298984
HMAC007_7_sh	-0.004918808299995421	0.5578921039229354	-0.011524061402715759	0.4305097884014937	-0.13965803384081088	0.2925286181001174	-0.17034430754929272	-0.11982568566091609	-0.09197376904319764	-0.07744606840798345	-0.05638140249339464	-0.22422723030072159	-0.03626146868938724	-0.20718133131125682	-0.0035107037193563215	-0.24674837118877643	0.04167614287897364	-0.20187892102448213	0.06454396339172301	-0.21689146736189382	0.0883312737224868	-0.085861974056456	0.1858735373600547	-0.1329799508919543	0.13414763768491253	0.23211048977989385
HMAC008_1_sh	-0.058269311103736066	0.576969936795224	0.002928702474615595	0.28517684373788793	-0.07115633826120253	0.20513833545854873	-0.2793065004305644	-0.03300127743503152	-0.08315880831199203	0.009324565988854559	-0.19759602960003445	-0.20166671166588737	-0.06695687919095092	-0.13938919884678916	-0.008093850328022012	-0.35166173923311017	0.08837282139998306	-0.18564963296951242	0.16405031002427206	-0.2210486489254088	0.1546040163530847	-0.06299022040239695	0.25335923353429973	-0.06834556914456429	0.10122263344024685	0.18714331664218495
HMAC009_1_sh	0.0397523459988937	0.6331199701345853	-0.011556101711322913	0.25078835218271694	-0.08933827441969325	0.17387697537414143	-0.24727944950289235	-0.06231221908660192	-0.08020825283378039	-0.010634987704968553	-0.16037851560150057	-0.22727843012824558	-0.0715917791178089	-0.17529133986059392	0.0066610458617887384	-0.36746882093997224	0.06735353504107473	-0.17131376643983684	0.16458390687075286	-0.21666820448559093	0.047015252721321635	0.016656619719370103	0.2651864847338844	-0.010582080690580772	0.06979980195928268	0.16710793192557793
HMAC009_2_sh	0.019428632997463197	0.623355331579853	-0.005323381529986654	0.3054527273417612	-0.07220389260962742	0.17023792118813472	-0.229871375320113	-0.07221936526657081	-0.09404016124927553	-0.029938174337066366	-0.13491197083847445	-0.2262999680828077	-0.07415914851056635	-0.18757760096143855	-0.015560405862739645	-0.3285404281876163	0.058984187135252115	-0.17026283359050146	0.14771849392355846	-0.21236408648419128	0.08865456951818437	-0.013504298628031618	0.24944417378001527	-0.04806293348649095	0.06184027856631102	0.189723708914962
HMAC009_3_sh	0.004061606460400172	0.6035555320689359	-0.009124562288811693	0.2580961419752469	-0.07144193470720359	0.21613346629665606	-0.2597397195106658	-0.08047847179986475	-0.09187881215621077	-0.008527404721166847	-0.16795988074550838	-0.23420924226098064	-0.07340683763407106	-0.1722840555446779	-0.0044400324127836475	-0.3400176206420375	0.07315884330613485	-0.16437672992349647	0.17260405534017453	-0.21535594461267762	0.09061564389875815	-0.010380339636000784	0.23878989900362302	-0.049407082248197176	0.09876173144616596	0.19725175104826137
HMAC009_5_sh	-0.0028077991562816124	0.612958523054514	0.002009751645016232	0.2901965122503089	-0.09507828218511612	0.20843916330782325	-0.2777856044192171	-0.030664191816781254	-0.07988737145837985	0.021189914238750836	-0.05243956862976782	-0.2643303961246265	-0.03702615740907153	-0.24726230935740065	-0.0076676542709504455	-0.28920525996299873	0.04225829802930606	-0.19069975382907015	0.0905710149558226	-0.22532114567147188	0.07149274972727036	-0.015005315619946467	0.24962781129032421	-0.05949011462076957	0.09673281188104575	0.18919437415167042
HMAC009_6_sh	-0.00678418917001157	0.5988015377869682	0.008596216545671366	0.31532537888796197	-0.06948945394161113	0.19264412569508124	-0.2790857104601768	-0.05356830920460215	-0.0895454481343744	-0.00726331566438086	-0.0937234184671935	-0.24972222331389562	-0.04384461310005672	-0.197300442163528	0.015716174348794996	-0.2927731660826888	0.043834104714697814	-0.174092933793749	0.08967992077273719	-0.22950629737672731	0.07224071432321189	0.006801447130294458	0.29284799620125124	-0.10598971770262951	0.059557706367061494	0.19664391580189566
HMAC009_7_sh	-0.06241429847031614	0.5647483205496636	0.00184266313290753	0.3164999912922609	-0.06851681725369455	0.20633651191630206	-0.17873266966510723	0.01880568313555437	-0.08139700654809899	0.015775534580350813	-0.20059570998243023	-0.21347325985608542	-0.08922028446974037	-0.18620351581564745	0.009531358146674634	-0.3781047199258023	0.0631609534373243	-0.18118156194080598	0.1645524667053974	-0.27566049199703585	0.11144282775883739	-0.02851177112338102	0.2468110192623253	-0.061796019289796625	0.08353549794592559	0.20276529847442296
HMAC010_1_sh	0.03585639778591386	0.61413543072746	0.01697876393989578	0.39955426965965296	-0.18632663625119145	0.15685928467547922	-0.22138449510622082	-0.10294013841381856	-0.09494183354793476	-0.05068621250915999	-0.06548945991670195	-0.23067977573273057	-0.03671858267442585	-0.20053593877988865	0.011211074670494505	-0.24029167599933127	0.06032665569221489	-0.18926290310916957	0.08455973258790307	-0.20614268401365762	0.09679764117574045	-0.05310877141912192	0.1713237349063123	-0.09898566350543246	0.1278070067380001	0.2020847784197189
HMAC010_2_sh	-0.02721161363157828	0.6066005871423015	0.025855983541437533	0.3721499876023749	-0.09158038212898925	0.2232204610959809	-0.19470674482571734	-0.11478237823837907	-0.0974714167319377	-0.0654453795162418	-0.08884850954767771	-0.22129041210368552	-0.05547758947607648	-0.19650255445357054	1.0037081191751479E-4	-0.24905845633422413	0.04627878192411826	-0.1906167815643687	0.07999145340854763	-0.22179466066174386	0.0972610100845037	-0.0698521599082836	0.1889837629246905	-0.11737395227611155	0.11682489364676178	0.24474569921595155
HMAC010_3_sh	-0.005316253261313443	0.6504304064221972	-0.008803961073958033	0.34376548866051093	-0.09942663271379418	0.1890617870339777	-0.17787034980742775	-0.07831042182815653	-0.1457812385916854	-0.06959918818613198	-0.11565684063711704	-0.19097898809002473	-0.06316774292636453	-0.1642263816041807	0.01972337300517271	-0.2668057922239391	0.07321766455310727	-0.18621675468201734	0.11659925247972235	-0.21513762982061418	0.12227087193885454	-0.09279716263813895	0.18648867231171307	-0.1131950118742492	0.09772318472309013	0.19400964883076793
HMAC010_4_sh	-0.013846608540770834	0.6436893727092751	2.338158856440009E-4	0.3901462874213624	-0.0968340056382603	0.22564701067995366	-0.16541374549891658	-0.11976483749142265	-0.08545018341533124	-0.08444957441689403	-0.08217737545699827	-0.1952548785743031	-0.05262512321072812	-0.184594452052033	0.004611840629419689	-0.2556652602324127	0.05319076427717677	-0.18904343585058206	0.08922708548556196	-0.206820477964211	0.08099920635653572	-0.09127683198587423	0.16322615090718384	-0.1359068419249307	0.10485817821948373	0.20329391968207278
HS001_1_sh	0.0018450795977574055	0.5846678123466954	-0.0038281023710089214	0.33106084425335125	-0.15442601980793488	0.15987377380978057	-0.2580964888151041	-0.0647893144160186	-0.11420275398232432	-0.0022408654247487933	-0.13090161302411313	-0.24542820110826455	-0.05825413427032003	-0.16445383664029353	0.007250984260514761	-0.28061084216662396	0.06586614208431878	-0.16838500902572234	0.12797053917229118	-0.23541857326880114	0.10888390145618959	0.0029922395888953932	0.25400231594190836	-0.08187044528313389	0.1538901497578244	0.16460241733488506
HS001_2_sh	-0.036550085038909545	0.6455454982650073	-0.015886329882589048	0.4079477126806609	-0.15327238596238113	0.15958460359510834	-0.199382829547709	-0.10591495913380958	-0.07225756338362593	-0.01695911785650199	-0.09739500997421069	-0.19896079052553517	-0.04186616913708015	-0.15116153039251837	0.023951950174134543	-0.24311592094933054	0.04828979052253407	-0.19264724509230172	0.07013112794254077	-0.2321069417716802	0.09259285542882568	-0.04340393095353154	0.1892707564606305	-0.13249494618466276	0.1923738923978393	0.10368756831909454
HS001_4_sh	0.055941460178090256	0.6082500388258848	-0.007583430089502633	0.3222221774476452	-0.19857497027190818	0.1139422421850453	-0.21546951601010927	-0.07245990908380165	-0.11196209002932812	-0.019051482358013606	-0.13204453116801662	-0.2287833810176396	-0.07387409186619406	-0.18314439850324174	-0.007023961556001431	-0.3000251745405083	0.06594067205777347	-0.16027667273374988	0.15194115038782696	-0.23090532447608736	0.10583364123673683	0.008853624637880695	0.23094983264953425	-0.04606920102009647	0.13592583448109888	0.1874474606366825
HS001_5_sh	-0.05562318912883941	0.6459529141774212	0.020131959061582418	0.338489873089496	-0.18682161613597686	0.11490074700686329	-0.23531724464271023	-0.06116891075244082	-0.0874933911525219	-0.015541741227288266	-0.14116484915424324	-0.1848580011726604	-0.058499141171592564	-0.13585998129316226	0.009658260347110283	-0.2672165772205159	0.05629823556322797	-0.14722814001229903	0.12332679552619749	-0.23513111199789272	0.10810217686427284	-0.030873428191573654	0.2501144993232633	-0.12499924585461333	0.19728750470023015	0.10353360344866584
L001_1_sh	0.020513756197584755	0.6276115051586392	0.00534465529530832	0.2978292083197868	-0.12746777518101307	0.19691107376021366	-0.22326449702033027	-0.050588321306101684	-0.12530745888000902	-0.05679458557684016	-0.13656739895349637	-0.1931336382857373	-0.07656405295377856	-0.18478984517634311	0.03501546061417517	-0.30904355451500015	0.09453835525626841	-0.19040665943369325	0.144752144723342	-0.20462247876925513	0.10647195425979207	-0.06581438302369728	0.199318120082371	-0.06586240969703802	0.08321673655978518	0.19870408854506702
L001_3_sh	-0.005785559836742733	0.5908098073804867	-4.16056618149252E-4	0.3375753055318474	-0.09934363011085642	0.2020098992762928	-0.2069364740366475	-0.07657074813781746	-0.12438898409646293	-0.05094838199244517	-0.1378945317707579	-0.22324284216646545	-0.08512120491740088	-0.19601375473658814	-0.03330086208207146	-0.28450120149521535	0.08190575323397328	-0.19422962540681102	0.13854871310245265	-0.2081955540915825	0.142767796332579	-0.04912209963910829	0.21998653635684653	-0.0524115100000717	0.10997850444323742	0.20484070547747824
L001_4_sh	0.0012593840668932432	0.5364970298868458	-0.0027140501259725197	0.3856114648673503	-0.13167149068201184	0.23241780604682122	-0.2174111622893264	-0.10904724837918557	-0.12771841545517304	-0.08006252540914116	-0.09520510916592757	-0.21826006373325585	-0.07319069723896174	-0.20220517814632213	-0.01899509161380215	-0.2510435115891718	0.05456476656366874	-0.1916804079689156	0.09108930863667632	-0.2162559995936259	0.1295601448877372	-0.060562186600560695	0.24312512610978548	-0.0875261534061195	0.14730728630641327	0.2621169740252809
